,brightness
720,125.3831983
721,90.86419753
722,0
723,98.94881687
724,89.70611497
725,177.7574588
726,102.7535687
727,99.89162166
728,86.39445087
729,97.6090535
730,167.3207305
731,157.6422968
732,155.4827353
733,0
734,139.3239133
735,136.3970872
736,125.4123585
737,125.4275334
738,106.9267297
739,0
740,155.3350373
741,0
742,109.6306263
743,0
744,197.1478909
745,84.5853588
746,200.8804012
747,116.3892747
748,106.2191037
749,150.017329
750,91.43637474
751,141.5102881
752,127.9612912
753,0
754,0
755,113.3126608
756,118.926151
757,74.33712706
758,82.27112269
759,140.6831919
760,147.8653228
761,134.3363555
762,126.424865
763,170.403035
764,168.908179
765,155.6187629
766,0
767,143.6500772
768,146.4021669
769,159.5940394
770,114.6508488
771,163.3817515
772,172.5788323
773,99.44749871
774,0
775,106.3097994
776,119.4512924
777,0
778,102.2461098
779,124.8780864
780,0
781,91.72363683
782,0
783,173.7931456
784,149.4745692
785,125.7682613
786,126.2606096
787,85.97833076
788,143.9401685
789,141.1697852
790,116.0838799
791,213.0135995
792,112.4258938
793,158.9996463
794,126.6954411
795,106.385706
796,120.5258488
797,102.364294
798,99.17351466
799,99.70749743
800,110.4023277
801,101.0934606
802,115.3984697
803,112.7939493
804,0
805,159.2327353
806,120.3409851
807,158.9688143
808,134.3383488
809,132.7339892
810,106.4497171
811,69.46598508
812,129.4939236
813,179.150463
814,148.26884
815,175.3569637
816,116.2074653
817,182.2057935
818,151.6715856
819,103.8787294
820,129.8090278
821,133.2321245
822,147.8605646
823,95.80860983
824,128.6199524
825,103.3143326
826,154.2265303
827,157.2567194
828,0
829,93.27681327
830,120.467464
831,124.6230067
832,0
833,148.2735983
834,146.5004823
835,83.57854295
836,146.536394
837,150.6268969
838,102.6741577
839,124.9441551
840,147.9119727
841,81.16441615
842,78.67216435
843,109.9764017
844,124.2462063
845,85.01289223
846,165.0253344
847,97.77067258
848,0
849,0
850,0
851,111.0549769
852,113.233314
853,125.8273855
854,128.6013374
855,121.1971451
856,189.1048097
857,112.2085905
858,0
859,100.4701646
860,107.1065136
861,0
862,137.4716435
863,104.689204
864,139.2810249
865,154.9378537
866,107.3796618
867,154.6193737
868,117.7843364
869,105.3200553
870,102.0380658
871,104.5431134
872,128.9150592
873,100.9523212
874,86.67605453
875,113.2105838
876,123.9420332
877,109.80308
878,0
879,145.2111304
880,109.4663066
881,79.19023277
882,149.7002958
883,0
884,154.857446
885,95.60059799
886,117.9987783
887,124.6770833
888,89.60432742
889,110.932581
890,95.12374614
891,129.0470358
892,78.8831983
893,0
894,84.85297711
895,128.3060378
896,0
897,0
898,112.7827289
899,0
900,96.55860983
901,198.6828061
902,0
903,97.92695473
904,102.6300476
905,114.0190651
906,58.83863812
907,101.3334298
908,156.6905221
909,130.8510159
910,121.9425797
911,84.13387346
912,134.0831083
913,166.448849
914,70.06893004
915,117.3890175
916,102.464249
917,139.4395898
918,107.6456404
919,128.3165509
920,141.883552
921,144.1820023
922,161.4924126
923,123.0280993
924,0
925,124.1457369
926,125.8059735
927,164.997653
928,140.5297068
929,106.2528614
930,120.882909
931,121.482446
932,155.6099859
933,134.3695345
934,120.038741
935,113.0829797
936,116.5243377
937,108.3539095
938,96.10317001
939,148.3785044
940,121.2059542
941,130.2036394
942,92.11638374
943,106.6024949
944,92.6100823
945,127.4563079
946,162.3132395
947,73.87265303
948,127.821695
949,152.3617541
950,111.3680234
951,166.2265625
952,151.5490612
953,149.8963799
954,124.4524177
955,107.4727688
956,134.789384
957,132.6009838
958,83.61869856
959,115.5273277
960,108.2629244
961,146.9287873
962,100.4045782
963,115.6498843
964,83.50848765
965,95.17836934
966,182.4239969
967,207.4206854
968,0
969,155.646187
970,68.68152006
971,154.5344972
972,100.4621914
973,125.5106096
974,98.33072917
975,95.24630273
976,134.7566229
977,148.2643068
978,123.6824846
979,0
980,119.051376
981,119.0716307
982,118.2791602
983,178.6155157
984,163.9972994
985,108.9632523
986,0
987,143.6599473
988,116.0898598
989,112.9940522
990,116.3004758
991,83.28205376
992,175.2894805
993,120.4717078
994,152.986304
995,91.65576775
996,78.81513632
997,160.0270705
998,107.2541474
999,0
1000,94.20103524
1001,95.22521219
1002,0
1003,94.16972094
1004,186.3994985
1005,161.7898984
1006,81.18647119
1007,123.46576
1008,128.7055684
1009,128.8589249
1010,110.5927212
1011,107.8093171
1012,197.3873135
1013,151.2628279
1014,117.6848958
1015,170.4547968
1016,132.0702803
1017,172.2921811
1018,157.763921
1019,200.1252894
1020,132.9394933
1021,105.5546553
1022,99.53774434
1023,105.1829025
1024,143.4994213
1025,127.8093171
1026,164.9641525
1027,157.0225373
1028,177.2094264
1029,83.12837577
1030,78.68936471
1031,115.3612719
1032,84.97254372
1033,125.3483796
1034,151.7031572
1035,133.0979295
1036,99.09593621
1037,75.71727109
1038,131.1157729
1039,97.94325489
1040,96.21502058
1041,55.43901106
1042,88.24691358
1043,77.49855324
1044,160.3385095
1045,0
1046,124.2780993
1047,154.3776363
1048,167.8226916
1049,172.5360082
1050,82.57606739
1051,149.5615355
1052,152.6576003
1053,113.2781636
1054,127.7459491
1055,140.1115291
1056,128.1776942
1057,94.51630015
1058,111.6895255
1059,195.6039738
1060,77.07658179
1061,165.9074074
1062,151.6333269
1063,161.9846001
1064,112.6329411
1065,129.7780671
1066,130.636992
1067,190.7022569
1068,154.1094072
1069,97.93830376
1070,142.7605774
