,price_by_model
727,128.9041595
728,91.72575378
729,129.2968445
730,151.3434448
731,108.5351028
732,0
733,137.5182037
734,131.9873505
735,132.9190216
736,137.986145
737,106.1797028
738,0
739,119.5364609
740,0
741,143.6906738
742,0
743,109.882431
744,136.2720795
745,120.8246765
746,93.4108429
747,124.9262695
748,117.7120361
749,113.6591797
750,138.9097748
751,135.3021088
752,0
753,0
754,117.9518127
755,136.4267426
756,155.7042236
757,131.1494598
758,126.6811752
759,111.3113327
760,124.1431656
761,130.2079163
762,136.8196411
763,133.4961548
764,140.7927856
765,0
766,130.9090881
767,96.16337585
768,136.6086884
769,129.1165314
770,102.9156723
771,106.2999268
772,118.9967728
773,0
774,142.8574677
775,126.7294693
776,0
777,124.800621
778,130.8541107
779,0
780,140.6811523
781,0
782,123.7280426
783,130.2687531
784,121.2594681
785,157.7720947
786,150.2597504
787,121.6051941
788,126.3292084
789,113.0663452
790,117.8641663
791,145.5321198
792,120.0235596
793,146.8450317
794,104.7086792
795,124.3558578
796,161.0630646
797,78.31319427
798,114.2219696
799,123.7536469
800,125.2203674
801,98.98681641
802,87.41111755
803,0
804,150.9925842
805,157.3279114
806,105.8270035
807,110.9324188
808,122.1670074
809,127.5060883
810,103.6796417
811,130.3452759
812,126.5832138
813,127.712822
814,118.1854858
815,124.8136749
816,115.544014
817,97.65220642
